,place,country,capital_city,points,year,host_city,dist_between_host_and_participant
446,23,Israel,Tel Aviv,39.0,2017.0,Kyiv,2070.0
447,24,Ukraine,Kyiv,36.0,2017.0,Kyiv,0.0
448,25,Germany,Berlin,6.0,2017.0,Kyiv,1210.0
449,26,Spain,Madrid,5.0,2017.0,Kyiv,2868.0
450,1,Israel,Tel Aviv,529.0,2018.0,Lisbon,4021.0
451,2,Cyprus,Nicosia,436.0,2018.0,Lisbon,3774.0
452,3,Austria,Vienna,342.0,2018.0,Lisbon,2303.0
453,4,Germany,Berlin,340.0,2018.0,Lisbon,2313.0
454,5,Italy,Rome,308.0,2018.0,Lisbon,1867.0
455,6,Czech Republic,Prague,281.0,2018.0,Lisbon,2246.0
456,7,Sweden,Stockholm,274.0,2018.0,Lisbon,2991.0
457,8,Estonia,Tallinn,245.0,2018.0,Lisbon,3315.0
458,9,Denmark,Copenhagen,226.0,2018.0,Lisbon,2479.0
459,10,Moldova,Chisinau,209.0,2018.0,Lisbon,3204.0
460,11,Albania,Tirana,184.0,2018.0,Lisbon,2478.0
461,12,Lithuania,Vilnius,181.0,2018.0,Lisbon,3125.0
462,13,France,Paris,173.0,2018.0,Lisbon,1453.0
463,14,Bulgaria,Sofia,166.0,2018.0,Lisbon,2762.0
464,15,Norway,Oslo,144.0,2018.0,Lisbon,2739.0
465,16,Ireland,Dublin,136.0,2018.0,Lisbon,1638.0
466,17,Ukraine,Kyiv,130.0,2018.0,Lisbon,3359.0
467,18,Netherlands,Amsterdam,121.0,2018.0,Lisbon,1862.0
468,19,Serbia,Belgrade,113.0,2018.0,Lisbon,2537.0
469,20,Australia,Canberra,99.0,2018.0,Lisbon,18059.0
470,21,Hungary,Budapest,93.0,2018.0,Lisbon,2475.0
471,22,Slovenia,Ljubljana,64.0,2018.0,Lisbon,2101.0
472,23,Spain,Madrid,61.0,2018.0,Lisbon,505.0
473,24,United Kingdom,London,48.0,2018.0,Lisbon,1584.0
474,25,Finland,Helsinki,46.0,2018.0,Lisbon,3365.0
475,26,Portugal,Lisbon,39.0,2018.0,Lisbon,0.0
476,1,Netherlands,Amsterdam,498.0,2019.0,Tel Aviv,3297.0
477,2,Italy,Rome,472.0,2019.0,Tel Aviv,2256.0
478,3,Russia,Moscow,370.0,2019.0,Tel Aviv,2639.0
479,4,Switzerland,Bern,364.0,2019.0,Tel Aviv,2849.0
480,5,Sweden,Stockholm,334.0,2019.0,Tel Aviv,3275.0
481,6,Norway,Oslo,331.0,2019.0,Tel Aviv,3566.0
482,7,North Macedonia,Skopje,305.0,2019.0,Tel Aviv,1617.0
483,8,Azerbaijan,Baku,302.0,2019.0,Tel Aviv,1631.0
484,9,Australia,Canberra,284.0,2019.0,Tel Aviv,14039.0
485,10,Iceland,Reykjavík,232.0,2019.0,Tel Aviv,5246.0
486,11,Czech Republic,Prague,157.0,2019.0,Tel Aviv,2615.0
487,12,Denmark,Copenhagen,120.0,2019.0,Tel Aviv,3142.0
488,13,Cyprus,Nicosia,109.0,2019.0,Tel Aviv,368.0
489,14,Malta,Valletta,107.0,2019.0,Tel Aviv,1918.0
490,15,Slovenia,Ljubljana,105.0,2019.0,Tel Aviv,2330.0
491,16,France,Paris,105.0,2019.0,Tel Aviv,3284.0
492,17,Albania,Tirana,90.0,2019.0,Tel Aviv,1682.0
493,18,Serbia,Belgrade,89.0,2019.0,Tel Aviv,1882.0
494,19,San Marino,San Marino,77.0,2019.0,Tel Aviv,2351.0
495,20,Estonia,Tallinn,76.0,2019.0,Tel Aviv,3131.0
496,21,Greece,Athens,74.0,2019.0,Tel Aviv,1203.0
497,22,Spain,Madrid,54.0,2019.0,Tel Aviv,3551.0
498,23,Israel,Tel Aviv,35.0,2019.0,Tel Aviv,0.0
499,24,Belarus,Minsk,31.0,2019.0,Tel Aviv,2492.0
500,25,Germany,Berlin,24.0,2019.0,Tel Aviv,2853.0
501,26,United Kingdom,London,11.0,2019.0,Tel Aviv,3562.0
